old_my_translation,new_deepseek
"物流 + DDP 清关","物流+DDP清关"
"总部位于河内市春芳坊宝玉大厦——仓储、清关、分销至越南 63 个省市。","总部位于河内市春芳坊宝玉大厦——仓储、清关、分销至越南63个省市。"
"海防仓储 + VNACCS 清关","海防仓储+VNACCS清关"
"Huayuesc（以下简称「华越」或「平台」）是一个连接越南买家与中国建材、室内装饰材料及厨卫家电供应商的 B2B 供应链平台。华越运营于 huayuesc.vn 域名及配套移动应用。主要法人主体：华越（越南）供应链有限公司（税号 0111453693），总部位于河内市春芳坊清林街 02 号宝玉大厦 07 层；采购代表处位于中国广州市海珠区新港东路（新港东路）数娱创兴港（数娱创兴港）1 栋 3 层。华越提供全程一站式服务：源头精选与采购支持、中国境内仓储、跨境物流与清关、越南分销渠道拓展——并为每一笔订单提供交易保障。华越不拥有供应商的货物，也不是直接销售方，而是承担中间供应链 + 物流服务 + 验厂的角色。用户分为 4 类：（a）访客——未注册，可浏览公开内容。（b）采购商——越南的个人/企业买家（须年满 18 岁，代表企业的须为法定代表人）。（c）供应商——已通过华越实地验厂的供应商。（d）合作伙伴——战略合作方（物流、支付、认证、分销）。","Huayuesc（以下简称「华越」或「平台」）是一个连接越南买家与中国建材、室内装饰材料及厨卫家电供应商的B2B供应链平台。华越运营于huayuesc.vn域名及配套移动应用。主要法人主体：华越（越南）供应链有限公司（税号0111453693），总部位于河内市春芳坊清林街02号宝玉大厦07层；采购代表处位于中国广州市海珠区新港东路数娱创兴港1栋3层。华越提供全程一站式服务：源头精选与采购支持、中国境内仓储、跨境物流与清关、越南分销渠道拓展——并为每一笔订单提供交易保障。华越不拥有供应商的货物，也不是直接销售方，而是承担中间供应链+物流服务+验厂的角色。用户分为4类：（a）访客——未注册，可浏览公开内容。（b）采购商——越南的个人/企业买家（须年满18岁，代表企业的须为法定代表人）。（c）供应商——已通过华越实地验厂的供应商。（d）合作伙伴——战略合作方（物流、支付、认证、分销）。"
"注册账户须提供真实信息：姓名、邮箱、手机号（OTP 验证）、公司 + 税号（企业）、越南收货地址。每位个人最多只能创建 1 个采购商账户；企业可拥有 1 个主账户 + 最多 10 个员工子账户。依越南《反洗钱法》，华越对每笔 ≥10,000 美元的交易执行 KYC（了解你的客户）——采购商须提供营业执照 + 法定代表人身份证。您有责任妥善保管密码、不共享账户——因您泄露登录信息造成的损失，华越概不负责。建议在 /buyer-center/settings/security 开启双重验证（2FA）。如出现以下情形，华越有权暂停或终止账户（按第 13 条流程）：信息欺诈、垃圾信息行为、侵犯版权、滥用交易保障、违反本条款，或依主管机关合法要求。","注册账户须提供真实信息：姓名、邮箱、手机号（OTP验证）、公司+税号（企业）、越南收货地址。每位个人最多只能创建1个采购商账户；企业可拥有1个主账户+最多10个员工子账户。依越南《反洗钱法》，华越对每笔≥10,000美元的交易执行KYC（了解你的客户）——采购商须提供营业执照+法定代表人身份证。您有责任妥善保管密码、不共享账户——因您泄露登录信息造成的损失，华越概不负责。建议在/buyer-center/settings/security开启双重验证（2FA）。如出现以下情形，华越有权暂停或终止账户（按第13条流程）：信息欺诈、垃圾信息行为、侵犯版权、滥用交易保障、违反本条款，或依主管机关合法要求。"
"采购商的权利：（i）免费使用整个平台——无会员费、交易费或佣金。（ii）向已认证供应商发送询价不限次数。（iii）对每笔 ≥$100 的订单免费使用交易保障服务。（iv）对 ≥5,000 美元的订单免费申请实地验厂（由华越广州团队执行）。（v）通过热线 +86 181-2225-6999 及邮箱 support@huayuesc.vn 获得越南语客户成功支持。（vi）自收货之日起 7 天内的投诉权。（vii）依越南第 13/2023 号法令查阅、更正、删除个人数据的权利。采购商的义务：（a）注册及交易时提供真实信息。（b）遵守越南法律（尤其：禁止进口假货、违禁品、侵犯在越南已注册知识产权的商品）。（c）按已签署的 PI/PO 足额、按期付款。（d）自交货之日起 14 天内响应确认收货请求（逾期系统将自动放款）。（e）不得将平台用于非法活动（洗钱、逃税、商业欺诈）。","采购商的权利：（i）免费使用整个平台——无会员费、交易费或佣金。（ii）向已认证供应商发送询价不限次数。（iii）对每笔≥100美元的订单免费使用交易保障服务。（iv）对≥5,000美元的订单免费申请实地验厂（由华越广州团队执行）。（v）通过热线+86 181-2225-6999及邮箱support@huayuesc.vn获得越南语客户成功支持。（vi）自收货之日起7天内的投诉权。（vii）依越南第13/2023号法令查阅、更正、删除个人数据的权利。采购商的义务：（a）注册及交易时提供真实信息。（b）遵守越南法律（尤其：禁止进口假货、违禁品、侵犯在越南已注册知识产权的商品）。（c）按已签署的PI/PO足额、按期付款。（d）自交货之日起14天内响应确认收货请求（逾期系统将自动放款）。（e）不得将平台用于非法活动（洗钱、逃税、商业欺诈）。"
"供应商的权利：（i）展示产品并接收华越聚焦三大行业（建材、装饰材料、厨卫家电）的越南采购商询价。（ii）享有具竞争力的佣金率（普通订单 5%，战略合作伙伴 3%）。（iii）预筛采购商的权利——可拒绝不符合产能的订单。（iv）越南市场营销支持（越南语着陆页、目录翻译、参加新品发布会）。（v）实地验厂报告，对采购商具有营销价值。供应商的义务：（a）上线前通过华越广州团队的实地验厂流程。（b）准确更新价格 + 起订量 + 交期。（c）24 小时内响应询价。（d）按已签 PO 生产并交货，不得在不告知的情况下变更规格。（e）出厂前配合华越 QC 验货员。（f）不得绕过平台（禁止在华越之外私下联系采购商直接交易——违者永久取消合作资格 + 处订单金额 5% 罚款）。","供应商的权利：（i）展示产品并接收华越聚焦三大行业（建材、装饰材料、厨卫家电）的越南采购商询价。（ii）享有具竞争力的佣金率（普通订单5%，战略合作伙伴3%）。（iii）预筛采购商的权利——可拒绝不符合产能的订单。（iv）越南市场营销支持（越南语着陆页、目录翻译、参加新品发布会）。（v）实地验厂报告，对采购商具有营销价值。供应商的义务：（a）上线前通过华越广州团队的实地验厂流程。（b）准确更新价格+起订量+交期。（c）24小时内响应询价。（d）按已签PO生产并交货，不得在不告知的情况下变更规格。（e）出厂前配合华越QC验货员。（f）不得绕过平台（禁止在华越之外私下联系采购商直接交易——违者永久取消合作资格+处订单金额5%罚款）。"
"货物运输遵循《2020 年国际贸易术语解释通则》（Incoterms 2020）（FOB / CIF / DDP）——详见 /info/shipping-policy。海关：华越驻海防港的清关团队以企业名义报关（经采购商授权），与越南海关总局电子海关系统（VNACCS/VCIS）直接对接。进口税：按准确的 HS 编码 + 财政部最惠国（MFN）税率计征（来自中国的货物另享 ACFTA、RCEP 优惠——下调 0-10%）。增值税：按 CIF 价 + 进口税的 10% 计征。特别消费税：不适用于华越经营的三大行业（建材、室内装饰、厨卫家电）。清关费：$80-150/批，已含于 DDP 中。采购商应负责：提供准确的 HS 编码信息，确保货物不属于禁止进口目录（第 69/2018/NĐ-CP 号法令附录），若海关重新归类 HS 编码导致税费上升则补缴差额（华越将提前告知，采购商有 7 天响应期）。","货物运输遵循《2020年国际贸易术语解释通则》（Incoterms 2020）（FOB / CIF / DDP）——详见/info/shipping-policy。海关：华越驻海防港的清关团队以企业名义报关（经采购商授权），与越南海关总局电子海关系统（VNACCS/VCIS）直接对接。进口税：按准确的HS编码+财政部最惠国（MFN）税率计征（来自中国的货物另享ACFTA、RCEP优惠——下调0-10%）。增值税：按CIF价+进口税的10%计征。特别消费税：不适用于华越经营的三大行业（建材、室内装饰、厨卫家电）。清关费：80-150美元/批，已含于DDP中。采购商应负责：提供准确的HS编码信息，确保货物不属于禁止进口目录（第69/2018/NĐ-CP号法令附录），若海关重新归类HS编码导致税费上升则补缴差额（华越将提前告知，采购商有7天响应期）。"
"交易保障——退款政策：若货物不符合承诺，采购商有权要求退款/换货/赔偿。流程：（步骤 1）自收货之日起 7 天内通过仪表盘或 support@huayuesc.vn 提交投诉，并附证据（照片、视频、验收记录）。（步骤 2）华越交易保障团队 24 小时内审核，联系采购商 + 供应商核实；必要时广州团队可赴厂检查。（步骤 3）3-7 个工作日内作出裁定，提供 4 种方案：（a）从托管账户全额退款——若货物严重与描述不符（SKU 错误、品类错误）。（b）免费换货——供应商重新生产 + 免费 DDP 运回越南，并承诺新的交期。（c）协商赔偿——若属轻微瑕疵且采购商同意留货，则减价 X%。（d）下单优惠抵扣——采购商可将额度用于下次采购。若争议在 21 天内无法达成一致 → 按第 12 条提交 VIAC 仲裁。","交易保障——退款政策：若货物不符合承诺，采购商有权要求退款/换货/赔偿。流程：（步骤1）自收货之日起7天内通过仪表盘或support@huayuesc.vn提交投诉，并附证据（照片、视频、验收记录）。（步骤2）华越交易保障团队24小时内审核，联系采购商+供应商核实；必要时广州团队可赴厂检查。（步骤3）3-7个工作日内作出裁定，提供4种方案：（a）从托管账户全额退款——若货物严重与描述不符（SKU错误、品类错误）。（b）免费换货——供应商重新生产+免费DDP运回越南，并承诺新的交期。（c）协商赔偿——若属轻微瑕疵且采购商同意留货，则减价X%。（d）下单优惠抵扣——采购商可将额度用于下次采购。若争议在21天内无法达成一致→按第12条提交VIAC仲裁。"
"华越创作的全部内容（界面、代码、品牌标识、文档、原创图片、视频、博客文章）的版权均归华越（越南）供应链有限公司所有。用户可出于个人/企业内部目的浏览、打印；未经书面同意，不得复制、分发、修改或逆向工程。供应商上传的产品图片版权归供应商所有——采购商仅可用于转售该供应商的相应产品（不得用于其他产品）。「Huayuesc」与「华越供应链」商标正在越南知识产权局申请注册保护中。禁止行为：抓取平台数据（设有速率限制 + WAF）、批量创建虚假账户、无序刷询价、发布侵权/色情/暴力内容、欺骗其他采购商、威胁/骚扰华越员工。违规者将依越南《知识产权法》处理，必要时依《刑法》追责。","华越创作的全部内容（界面、代码、品牌标识、文档、原创图片、视频、博客文章）的版权均归华越（越南）供应链有限公司所有。用户可出于个人/企业内部目的浏览、打印；未经书面同意，不得复制、分发、修改或逆向工程。供应商上传的产品图片版权归供应商所有——采购商仅可用于转售该供应商的相应产品（不得用于其他产品）。「Huayuesc」与「华越供应链」商标正在越南知识产权局申请注册保护中。禁止行为：抓取平台数据（设有速率限制+WAF）、批量创建虚假账户、无序刷询价、发布侵权/色情/暴力内容、欺骗其他采购商、威胁/骚扰华越员工。违规者将依越南《知识产权法》处理，必要时依《刑法》追责。"
"华越按 /info/privacy-policy 的详细隐私政策收集、处理个人数据——遵守第 13/2023/NĐ-CP 号法令、2021 年 PIPL 及适用时的 GDPR。用户享有 11 项基本权利（查阅、更正、删除、限制处理、可携权等）——可向 privacy@huayuesc.vn 提出申请。河内总部与广州代表处之间的越中跨境数据传输受标准合同条款（SCCs）保护；华越正依第 13/2023 号法令第 25 条向信息安全局完成跨境数据传输登记。Cookies：4 类（必要 / 分析 / 营销 / 合作伙伴），同意横幅提供 3 种选择。华越不向数据中介出售数据。依越南《税收管理法》保存交易凭证 10 年。采购商注销账户时：30 天内彻底删除，并应请求出具删除证明（Certificate of Erasure）。","华越按/info/privacy-policy的详细隐私政策收集、处理个人数据——遵守第13/2023/NĐ-CP号法令、2021年PIPL及适用时的GDPR。用户享有11项基本权利（查阅、更正、删除、限制处理、可携权等）——可向privacy@huayuesc.vn提出申请。河内总部与广州代表处之间的越中跨境数据传输受标准合同条款（SCCs）保护；华越正依第13/2023号法令第25条向信息安全局完成跨境数据传输登记。Cookies：4类（必要/分析/营销/合作伙伴），同意横幅提供3种选择。华越不向数据中介出售数据。依越南《税收管理法》保存交易凭证10年。采购商注销账户时：30天内彻底删除，并应请求出具删除证明（Certificate of Erasure）。"
"华越的责任限于按本条款提供平台 + 供应链服务。华越承诺正常运行时间 ≥99.5%（以 huayuesc-status.io 为准），但不保证 100% 不间断——定期维护造成的中断将提前 48 小时通知。华越基于实地验厂提供供应商信息，但不作绝对保证——采购商有责任在必要时自行补充尽职调查（尤其是 ≥$50K 的订单）。华越对每笔交易的最高赔偿责任限于：（a）该笔交易金额，或（b）10,000 美元，以较低者为准。华越不对间接损失负责，如：预期收入损失、品牌商誉损害、终端客户流失、机会成本、因延误产生的贷款利息。若华越存在故意违约（重大过失/故意不当行为），依越南《民法典》第 442 条，本限制不适用。","华越的责任限于按本条款提供平台+供应链服务。华越承诺正常运行时间≥99.5%（以huayuesc-status.io为准），但不保证100%不间断——定期维护造成的中断将提前48小时通知。华越基于实地验厂提供供应商信息，但不作绝对保证——采购商有责任在必要时自行补充尽职调查（尤其是≥$50K的订单）。华越对每笔交易的最高赔偿责任限于：（a）该笔交易金额，或（b）10,000美元，以较低者为准。华越不对间接损失负责，如：预期收入损失、品牌商誉损害、终端客户流失、机会成本、因延误产生的贷款利息。若华越存在故意违约（重大过失/故意不当行为），依越南《民法典》第442条，本限制不适用。"
"不可抗力（Force Majeure）：若因超出合理控制范围的事件导致无法履行义务，华越、采购商与供应商均可免责，包括但不限于：（i）自然灾害（地震、洪水、台风、火灾）。（ii）战争、恐怖主义、暴乱、公共罢工。（iii）国家基础设施事故（国际互联网海缆中断、大范围停电、友谊/芒街口岸或海防港关闭）。（iv）大规模疫情（类似 COVID 的封控）。（v）国家机关的决定/命令（禁运、税收政策突变、临时停产某行业）。（vi）国家级网络攻击事件。遭遇不可抗力的一方须在事件发生后 5 天内通知对方。若事件持续超过 60 天，各方有权协商解除合同，并按工作完成比例退还定金。","不可抗力（Force Majeure）：若因超出合理控制范围的事件导致无法履行义务，华越、采购商与供应商均可免责，包括但不限于：（i）自然灾害（地震、洪水、台风、火灾）。（ii）战争、恐怖主义、暴乱、公共罢工。（iii）国家基础设施事故（国际互联网海缆中断、大范围停电、友谊/芒街口岸或海防港关闭）。（iv）大规模疫情（类似COVID的封控）。（v）国家机关的决定/命令（禁运、税收政策突变、临时停产某行业）。（vi）国家级网络攻击事件。遭遇不可抗力的一方须在事件发生后5天内通知对方。若事件持续超过60天，各方有权协商解除合同，并按工作完成比例退还定金。"
"账户终止：（a）用户自愿注销——可随时通过 /buyer-center/settings 办理，7 个工作日内完成，数据保留 90 天以处理完未结交易后彻底删除。（b）华越因用户违规而终止——提前 7 天以邮件书面通知后执行，紧急情形（欺诈、网络攻击）除外。用户有 7 天时间申辩或恢复。（c）华越因违法行为而终止——立即执行，不提前通知；华越可配合调查机关。终止后：账户停用，无法登录；处理中的交易仍按托管账户状态完成；采购商定金按第 7 条退还；供应商佣金按终止前已签 PO 结算。","账户终止：（a）用户自愿注销——可随时通过/buyer-center/settings办理，7个工作日内完成，数据保留90天以处理完未结交易后彻底删除。（b）华越因用户违规而终止——提前7天以邮件书面通知后执行，紧急情形（欺诈、网络攻击）除外。用户有7天时间申辩或恢复。（c）华越因违法行为而终止——立即执行，不提前通知；华越可配合调查机关。终止后：账户停用，无法登录；处理中的交易仍按托管账户状态完成；采购商定金按第7条退还；供应商佣金按终止前已签PO结算。"
